Station_Code,Station_Name,Station_Latitude,Station_Longitude
A21,Paddington,51.520066,-0.182991
A23,Euston,51.527756,-0.130806
A24,Soho,51.512462,-0.130084
A28,Dowgate,51.509926,-0.0901699999999437
A30,Islington,51.540143,-0.10231
A31,Holloway,51.561576,-0.116038
A32,Hornsey,51.586511,-0.12722
A33,Tottenham,51.5925699,-0.0715565000000424
A34,Edmonton,51.6268182,-0.0684826000000385
A35,Enfield,51.6600165,-0.0523107999999866
A36,Southgate,51.630493,-0.127322999999933
A37,Barnet,51.6472715,-0.18591390000006
A38,Mill Hill,51.6150912,-0.243471699999986
A39,Finchley,51.5978768,-0.179353099999958
A40,Hendon,51.5888631,-0.228615300000001
A41,West Hampstead,51.551672,-0.192947
A43,Kentish Town,51.55274,-0.141792
E21,Lewisham,51.457216,-0.01339
E22,Greenwich,51.4741665,-0.0136505000000398
E23,East Greenwich,51.486942,0.021973
E25,Plumstead,51.487369,0.091324
E27,Erith,51.485535,0.15653999999995
E28,Bexley,51.461128,0.153598999999986
E29,Lee Green,51.45636,0.01236
E30,Eltham,51.4509208,0.0593605
E31,Forest Hill,51.442535,-0.0451030000000401
E34,Dockhead,51.500622,-0.070724
E35,Old Kent Road,51.486942,-0.073471
E36,Deptford,51.484804,-0.033646
E37,Peckham,51.473899,-0.077934
E38,New Cross,51.4736774,-0.0494155000000092
E39,Bromley,51.407031,0.0171169999999847
E40,Sidcup,51.427395,0.0940067000000226
E41,Orpington,51.3720935,0.1110935
E42,Biggin Hill,51.313587,0.0340489999999818
E43,Beckenham,51.4080584,-0.0341092999999546
F21,Stratford,51.543559,0.010986
F22,Poplar,51.510879,-0.014763
F23,Millwall,51.500622,-0.026093
F24,Shoreditch,51.526515,-0.085447
F25,Shadwell,51.511021,-0.055907
F26,Bethnal Green,51.527641,-0.053505
F28,Homerton,51.5485918,-0.0439078
F29,Leyton,51.562985,-0.016479
F30,Leytonstone,51.560731,0.008433
F32,Stoke Newington,51.562345,-0.076904
F33,Whitechapel,51.515152,-0.069351
F34,Chingford,51.6295369,-0.00480820000007043
F35,Woodford,51.60944,0.0240840000000162
F36,Walthamstow,51.5896043,-0.0288708
F37,Hainault,51.606291,0.10437
F38,Romford,51.593602,0.181103
F39,Hornchurch,51.564558,0.220491000000038
F40,Wennington,51.506178,0.220413
F41,Dagenham,51.559357,0.156898
F42,Ilford,51.562345,0.089951
F43,Barking,51.529679,0.089264
F44,East Ham,51.523271,0.056992
F45,Plaistow,51.521134,0.032272
F57,Harold Hill,51.597652,0.224274000000037
G21,Harrow,51.590829,-0.366309000000001
G22,Stanmore,51.603659,-0.297596999999996
G23,Hillingdon,51.532246,-0.451968999999963
G24,Southall,51.511285,-0.374434000000065
G25,Ealing,51.511948,-0.313797
G26,Acton,51.5070812,-0.276999299999943
G27,North Kensington,51.5218253,-0.2122271
G28,Willesden,51.544413,-0.236549
G29,Park Royal,51.5361455,-0.266604499999971
G30,Wembley,51.5517972,-0.303989399999978
G31,Northolt,51.554656,-0.359549000000015
G32,Ruislip,51.614852,-0.181871999999998
G33,Kensington,51.502763,-0.189939
G34,Chelsea,51.487155,-0.170288
G35,Fulham,51.477962,-0.200844
G36,Hammersmith,51.496133,-0.22419
G37,Chiswick,51.4905383,-0.2690193
G38,Heston,51.47499,-0.34319400000004
G39,Feltham,51.4609715,-0.413566899999978
G40,Hayes,51.494436,-0.431671000000051
G56,Heathrow,51.4801603,-0.458665399999973
H21,Clapham,51.464916,-0.140934
H22,Lambeth,51.4927423,-0.1235352
H24,Brixton,51.4637353,-0.1093956
H25,West Norwood,51.4258523,-0.105313600000045
H26,Addington,51.351802,-0.023967999999968
H27,Battersea,51.467096,-0.169239
H28,Woodside,51.385856,-0.0620710000000599
H29,Purley,51.3318425,-0.124801
H31,Croydon,51.3690207,-0.10513990000004
H32,Norbury,51.406794,-0.121410999999966
H33,Wandsworth,51.456574,-0.20153
H34,Wimbledon,51.415562,-0.197450000000003
H35,Tooting,51.43784,-0.162710999999945
H36,Mitcham,51.3972109,-0.172744999999964
H37,Wallington,51.3622614,-0.147596199999953
H38,Sutton,51.368908,-0.21118100000001
H39,Surbiton,51.392244,-0.298058999999967
H40,New Malden,51.399066,-0.245390000000043
H41,Kingston,51.429418,-0.306599000000006
H42,Richmond,51.467436,-0.28487199999995
H43,Twickenham,51.435159,-0.348005000000057
K21,Dartford,51.439531,0.244777999999997
KNT,Kent,51.194052,0.0651619999999866
N21,Godstone,51.256958,-0.0666160000000673
N25,Esher,51.376687,-0.345989000000031
N28,Staines,51.443424,-0.475363000000016
R22,Watford,51.651568,-0.389216000000033
